Season,W,L,W-L%,W_c,L_c,W-L%_c,SRS,SOS,PS/G,PA/G,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
2022-23,23,12,0.657,12,8,0.6,14.96,8.9,74.7,68.7,13,10,21,Lost NCAA Tournament Second Round,4,Mike Woodson (23-12)
2021-22,21,14,0.6,9,11,0.45,12.71,8.08,70.8,66.2,,,,Lost NCAA Tournament First Round,12,Mike Woodson (21-14)
2020-21,12,15,0.444,7,12,0.368,12.79,12.45,69.7,69.4,,,,,,Archie Miller (12-15)
2019-20,20,12,0.625,9,11,0.45,15.07,10.35,71.4,66.7,,,,,,Archie Miller (20-12)
2018-19,19,16,0.543,8,12,0.4,13.82,10.1,71.5,67.8,,21,,,,Archie Miller (19-16)
2017-18,16,15,0.516,9,9,0.5,9.89,8.25,71.9,70.3,,,,,,Archie Miller (16-15)
2016-17,18,16,0.529,7,11,0.389,14.63,8.16,79.7,73.3,11,3,,,,Tom Crean (18-16)
2015-16,27,8,0.771,15,3,0.833,19.59,6.9,82.6,69.9,15,10,14,Lost NCAA Tournament Regional Semifinal,5,Tom Crean (27-8)
2014-15,20,14,0.588,9,9,0.5,12.94,7.2,77.4,71.7,,22,,Lost NCAA Tournament Second Round,10,Tom Crean (20-14)
2013-14,17,15,0.531,7,11,0.389,11.32,6.64,72.3,67.6,,,,,,Tom Crean (17-15)
2012-13,29,7,0.806,14,4,0.778,24.92,8.39,78.6,62.1,1,1,4,Lost NCAA Tournament Regional Semifinal,1,Tom Crean (29-7)
2011-12,27,9,0.75,11,7,0.611,18.63,7.8,77.3,66.4,,7,16,Lost NCAA Tournament Regional Semifinal,4,Tom Crean (27-9)
2010-11,12,20,0.375,3,15,0.167,9.03,7.65,69.6,68.2,,,,,,Tom Crean (12-20)
2009-10,10,21,0.323,4,14,0.222,0.76,9.37,66.2,71.5,,,,,,Tom Crean (10-21)
2008-09,6,25,0.194,1,17,0.056,-2.03,8.98,60.1,70.6,,,,,,Tom Crean (6-25)
2007-08,25,8,0.758,14,4,0.778,15.78,6.08,75,65.3,9,7,,Lost NCAA Tournament First Round,8,Dan Dakich (3-4) Kelvin Sampson (22-4)
2006-07,21,11,0.656,10,6,0.625,16.78,8.35,70.2,61.8,,23,,Lost NCAA Tournament Second Round,7,Kelvin Sampson (21-11)
2005-06,19,12,0.613,9,7,0.563,12.1,7.36,72,67.2,24,9,,Lost NCAA Tournament Second Round,6,Mike Davis (19-12)
2004-05,15,14,0.517,10,6,0.625,10.19,10.02,63.8,63.6,,,,,,Mike Davis (15-14)
2003-04,14,15,0.483,7,9,0.438,5.18,7.94,64.9,67.6,,,,,,Mike Davis (14-15)
2002-03,21,13,0.618,8,8,0.5,12.63,9.81,69.9,67.1,21,6,,Lost NCAA Tournament Second Round,7,Mike Davis (21-13)
2001-02,25,12,0.676,11,5,0.688,19.19,12.08,70.5,62.6,22,20,,Lost NCAA Tournament National Final,5,Mike Davis (25-12)
2000-01,21,13,0.618,10,6,0.625,17.58,11.05,70.8,64.3,,20,20,Lost NCAA Tournament First Round,4,Mike Davis (21-13)
1999-00,20,9,0.69,10,6,0.625,19.43,10.22,77.7,68.4,,9,22,Lost NCAA Tournament First Round,6,Bob Knight (20-9)
1998-99,23,11,0.676,9,7,0.563,17.21,11.35,75.4,69.6,22,8,19,Lost NCAA Tournament Second Round,6,Bob Knight (23-11)
1997-98,20,12,0.625,9,7,0.563,14.18,10.71,76.8,73.3,17,17,,Lost NCAA Tournament Second Round,7,Bob Knight (20-12)
1996-97,22,11,0.667,9,9,0.5,13.94,9.39,72.6,68.1,,8,,Lost NCAA Tournament First Round,8,Bob Knight (22-11)
1995-96,19*,12*,0.613,12*,6*,0.667,17.61,10.88,75.8,69.1,23,23,,Lost NCAA Tournament First Round,6,Bob Knight (19-12)
1994-95,19,12,0.613,11,7,0.611,14.83,9.03,75.6,69.6,9,9,,Lost NCAA Tournament First Round,9,Bob Knight (19-12)
1993-94,21,9,0.7,12,6,0.667,16.04,12.18,80.9,77.1,12,8,18,Lost NCAA Tournament Regional Semifinal,5,Bob Knight (21-9)
1992-93,31,4,0.886,17,1,0.944,25.83,11.09,86.5,71.6,4,1,1,Lost NCAA Tournament Regional Final,1,Bob Knight (31-4)
1991-92,27,7,0.794,14,4,0.778,30.05,12.43,83.4,65.8,2,2,5,Lost NCAA Tournament National Semifinal,2,Bob Knight (27-7)
1990-91,29,5,0.853,15,3,0.833,23.21,7.68,84.8,69.2,8,3,3,Lost NCAA Tournament Regional Semifinal,2,Bob Knight (29-5)
1989-90,18,11,0.621,8,10,0.444,18.17,10.89,78.1,70.8,14,9,,Lost NCAA Tournament First Round,8,Bob Knight (18-11)
1988-89,27,8,0.771,15,3,0.833,20.27,12.84,78.5,71.1,,3,8,Lost NCAA Tournament Regional Semifinal,2,Bob Knight (27-8)
1987-88,19,10,0.655,11,7,0.611,17.48,9.66,78.8,70.9,6,5,,Lost NCAA Tournament First Round,4,Bob Knight (19-10)
1986-87,30,4,0.882,15,3,0.833,20.69,9.1,82.5,70.9,3,2,3,Won NCAA Tournament National Final,1,Bob Knight (30-4)
1985-86,21,8,0.724,13,5,0.722,18.68,11.41,76.3,67.9,,15,16,Lost NCAA Tournament First Round,3,Bob Knight (21-8)
1984-85,19,14,0.576,7,11,0.389,15.23,9.6,71.2,65.5,4,4,,,,Bob Knight (19-14)
1983-84,22,9,0.71,13,5,0.722,14.6,8.63,65.1,59.1,19,17,,Lost NCAA Tournament Regional Final,4,Bob Knight (22-9)
1982-83,24,6,0.8,13,5,0.722,17.88,7.42,70.5,59.9,9,1,5,Lost NCAA Tournament Regional Semifinal,2,Bob Knight (24-6)
1981-82,19,10,0.655,12,6,0.667,13.21,5.42,69.1,61.3,12,10,,Lost NCAA Tournament Second Round,5,Bob Knight (19-10)
1980-81,26,9,0.743,14,4,0.778,21.18,9.67,70,58.5,5,5,9,Won NCAA Tournament National Final,3,Bob Knight (26-9)
1979-80,21,8,0.724,13,5,0.722,17.55,11.24,68.2,61.9,1,1,7,Lost NCAA Tournament Regional Semifinal,2,Bob Knight (21-8)
1978-79,22,12,0.647,10,8,0.556,14.86,8.77,67.3,61.2,10,10,,,,Bob Knight (22-12)
1977-78,21,8,0.724,12,6,0.667,12.48,5.97,70.3,63.8,,11,13,Lost NCAA Tournament Regional Semifinal,,Bob Knight (21-8)
1976-77,14*,13*,0.519,9*,9*,0.5,11.44,8.21,70.8,66,5,4,,,,Bob Knight (14-13)
